Frequency (Hz),R2eff,R2eff Error
0,0.0,0.1345755101636299
50,30.046162529115673,0.13426083768925545
100,31.087076106881035,0.13374088683654312
250,28.22382514301955,0.13399322126673022
500,26.972119750744795,0.13422797806958323
750,27.417460312145636,0.13503241407613792
1000,27.599767779021704,0.13530905365411694
1250,27.05678587117773,0.13409809789149915
1500,27.18906131203812,0.13349316424461646
2000,27.542053247809957,0.13449494281464794
