Frequency (Hz),R2eff,R2eff Error
0,0.0,
50,30.046162529115673,0.2550355744851649
100,31.087076106881035,
250,28.22382514301955,
500,26.972119750744795,
750,27.417460312145636,0.01364147060618343
1000,27.599767779021704,
1250,27.05678587117773,
1500,27.18906131203812,
2000,27.542053247809957,
