Frequency,R2eff,R2eff_error
50,33.11267183,0.205141524
100,31.07550931,0.18885091
250,29.97475582,0.180635889
500,28.49522447,0.166376285
750,28.70692402,0.174076666
1000,28.82531414,0.165768375
1250,28.58909191,0.169197622
1500,28.32404422,0.157973353
2000,29.03186123,0.169906133
